# Temperature (C)	Pressure (bar)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-100.00	1.5759	0.37205	4.4223	4.9395	28.563	2887.3	0.00034634	0.35637	0.36354	2.1352	21.289	44.876	620.14	-0.059488	438.65	0.067736	15.012	0.066612	11.285	12.663	73.170	13.735	23.759	131.68	5.4642	14.251	0.0033751
-99.500	1.6171	0.38103	4.5357	5.0665	29.217	2883.9	0.00034675	0.37873	0.38609	2.2642	21.258	44.901	618.71	-0.059276	435.68	0.067548	15.373	0.065049	11.289	12.670	73.002	13.755	23.812	131.81	5.4267	14.289	0.0033865
-99.000	1.6591	0.39018	4.6506	5.1951	29.878	2880.5	0.00034717	0.40110	0.40866	2.3929	21.228	44.927	617.28	-0.059061	432.73	0.067359	15.740	0.063531	11.292	12.676	72.835	13.775	23.865	131.93	5.3896	14.327	0.0033980
-98.500	1.7020	0.39949	4.7669	5.3255	30.545	2877.0	0.00034758	0.42348	0.43124	2.5212	21.197	44.953	615.85	-0.058844	429.81	0.067170	16.114	0.062058	11.296	12.683	72.669	13.795	23.919	132.06	5.3529	14.366	0.0034095
-98.000	1.7457	0.40897	4.8846	5.4576	31.218	2873.6	0.00034800	0.44587	0.45384	2.6493	21.167	44.980	614.42	-0.058623	426.91	0.066981	16.494	0.060627	11.299	12.689	72.505	13.815	23.974	132.19	5.3166	14.404	0.0034210
-97.500	1.7903	0.41861	5.0038	5.5915	31.898	2870.1	0.00034841	0.46827	0.47646	2.7771	21.137	45.008	612.98	-0.058399	424.04	0.066791	16.881	0.059237	11.303	12.695	72.341	13.835	24.029	132.31	5.2806	14.442	0.0034326
-97.000	1.8357	0.42843	5.1245	5.7271	32.584	2866.7	0.00034883	0.49068	0.49909	2.9045	21.108	45.036	611.54	-0.058173	421.20	0.066602	17.275	0.057887	11.306	12.702	72.178	13.856	24.085	132.44	5.2451	14.481	0.0034442
-96.500	1.8820	0.43843	5.2467	5.8645	33.276	2863.2	0.00034926	0.51310	0.52173	3.0317	21.078	45.065	610.10	-0.057943	418.38	0.066412	17.676	0.056575	11.310	12.708	72.016	13.877	24.142	132.56	5.2099	14.519	0.0034558
-96.000	1.9292	0.44860	5.3704	6.0037	33.976	2859.8	0.00034968	0.53554	0.54440	3.1586	21.049	45.094	608.66	-0.057711	415.58	0.066222	18.083	0.055300	11.313	12.714	71.855	13.898	24.199	132.68	5.1751	14.558	0.0034675
-95.500	1.9772	0.45894	5.4957	6.1446	34.682	2856.3	0.00035010	0.55799	0.56708	3.2852	21.019	45.125	607.22	-0.057475	412.80	0.066032	18.498	0.054060	11.317	12.720	71.695	13.919	24.257	132.81	5.1407	14.597	0.0034792
